"","Generation","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","PopularitySD","MeanDesignSD"
"1","2",2.13386011120866,2.176002341235,1.93707930933567,3.0012876792508,1.98870354111794,3.48680128767925,3.22130523851332,3.21387181738367,3.67281240854551,1.11222807658244,1.17611424264134
"2","7",3.0287766040485,2.24733309049279,2.52755372846958,3.45985325493053,2.21902482177239,3.06457823801842,3.40802414528803,3.17005776135713,3.60420461050112,1.19807090842824,1.3152138892088
"3","6",3.23070325900515,2.35428816466552,2.41033447684391,3.601243567753,2.25381646655232,2.93820754716981,3.54678387650086,3.21144939965695,3.59532590051458,1.18622183217422,1.27813974877379
"4","1",2.17966447962912,2.56005186029152,1.96035830746867,2.91702353357168,1.98636702942679,2.96695870820728,3.31124032530546,2.92150237693003,3.59313244018387,1.13263139189199,1.24792354956899
"5","3",2.43726514922472,2.34462056752905,2.29551246058826,3.13743359391871,2.10568824774327,3.06379302898113,3.24925495616119,2.97421500453505,3.57465555219626,1.12661499331108,1.2613441411093
"6","4",2.70534511154364,2.23681189798872,2.40060887358387,3.29739981035085,2.08798722363627,3.06492987972251,3.25213355292708,3.02001297599441,3.52902131057544,1.18310151988882,1.26910131668424
"7","5",2.7429731100964,2.35504819888382,2.28198883815322,3.17250126839168,2.24664299002199,3.00913242009132,3.24654151868764,3.01075596144089,3.46507694909521,1.19768071646592,1.28776165663446
"8","8",3.17609184702506,2.16294313862385,2.48716158560236,3.61003801101544,2.29187029710651,2.80009308820107,3.37332247304321,2.88298037390427,3.40256768287953,1.25428054633193,1.28677838266878
"9","9",2.98713782212661,2.13393143223326,2.65185151279352,3.49750537831281,2.12427335560947,2.94699501075663,3.21737538334783,2.91211608001099,3.33295189270838,1.2865627252183,1.31797247467374
